#chromosome	start	end	crest	length	tcnNbrOfLoci	tcnMean	tcnNbrOfSNPs	tcnNbrOfHets	dhNbrOfLoci	map	dhMax	cluster	neighbour	distDH	errorSNP	distTcn	errorLength	totalError	minStart	maxStart	minStop	maxStop	area	peaks	meanCovT	meanCovB	tcnMeanRaw	AF	BAF	dhMean	c1Mean	c2Mean	A	B	genotype	TCN	CNA.type
1	164419969	175390019	NA	10970052	148735	2.96483474	148129	7811	37950	mappable	0.32915000	3	NA	0.261044012371	0.00011880718	0.42395181161	0.08551735	0.08563616	164419828	164420110	175389957	175390081	0.94762395	2	1004421.01	66.2942800	1.2814883	34.21181	0.6633634	0.32672688	0.998071767	1.9667630	2	1	2:1	3	DUP
1	175390019	175404977	NA	14959	170	2.78630608	170	5	37	mappable	0.12945727	NA	NA	0.060975625854	0.20000000000	0.32465432682	0.14420935	0.34420935	175389957	175390081	175399952	175404977	NA	missing	991076.70	57.9056049	1.2059000	NA	NA	NA	NA	NA	NA	NA	NA	NA	DUP
1	175404978	175429982	NA	25005	339	3.09211372	339	9	80	mappable	0.27143193	9	NA	0.202950293181	0.11111111111	0.45225432682	0.13689320	0.24800432	175404978	175410003	175429915	175429982	NA	missing	1023415.67	67.9827596	1.3353777	NA	NA	NA	NA	NA	NA	NA	NA	NA	DUP
1	175429983	179609970	NA	4179988	55792	2.96483474	55588	3001	14068	mappable	0.32190000	3	NA	0.253478635314	0.00031201248	0.42271256814	0.09092948	0.09124149	175429983	175430050	179609882	179610058	0.96423141	2	1004421.01	66.2942800	1.2814883	34.21181	0.6633634	0.32672688	0.998071767	1.9667630	2	1	2:1	3	DUP
1	179609970	179619924	NA	9955	144	3.25867722	143	0	32	mappable	NA	NA	NA	0.011518360408	1.00000000000	0.52465432682	0.15058874	1.15058874	179609882	179610058	179619833	179619924	NA	missing	1087944.00	NA	1.4059000	NA	NA	NA	NA	NA	NA	NA	NA	NA	DUP
1	179619925	180639985	NA	1020061	13853	2.96483474	13806	939	3539	mappable	0.31859741	3	NA	0.250711217551	0.00101419878	0.42835432682	0.10019928	0.10121348	179619925	179620016	180639948	180640022	0.91093171	2	1004421.01	66.2942800	1.2814883	34.21181	0.6633634	0.32672688	0.998071767	1.9667630	2	1	2:1	3	DUP
1	180639985	180710003	NA	70019	915	3.09211372	911	44	218	mappable	0.32806296	9	NA	0.248518360408	0.02083333333	0.51285432682	0.12425865	0.14509198	180639948	180640022	180709987	180710003	0.98873438	2	1023415.67	67.9827596	1.3353777	33.45206	0.6675594	0.33511875	1.027944225	2.0641695	2	1	2:1	3	DUP
1	180710004	181679861	NA	969858	13234	2.96483474	13197	660	3300	mappable	0.31723352	3	NA	0.248751876892	0.00143472023	0.40075432682	0.10056612	0.10200084	180710004	180710020	181679695	181679861	0.97679912	2	1004421.01	66.2942800	1.2814883	34.21181	0.6633634	0.32672688	0.998071767	1.9667630	2	1	2:1	3	DUP
1	181679862	181699969	NA	20108	315	3.09211372	314	13	82	mappable	0.27189091	9	NA	0.208481996772	0.07142857143	0.45875432682	0.13990434	0.21133291	181679862	181680028	181699932	181700006	NA	missing	1023415.67	67.9827596	1.3353777	NA	NA	NA	NA	NA	NA	NA	NA	NA	DUP
1	181699969	194510039	NA	12810071	184028	2.96483474	183317	10570	47630	mappable	0.32730000	3	NA	0.259176198458	0.00008864462	0.41566597885	0.08470709	0.08479573	181699932	181700006	194509993	194510039	0.94310047	2	1004421.01	66.2942800	1.2814883	34.21181	0.6633634	0.32672688	0.998071767	1.9667630	2	1	2:1	3	DUP
1	194510040	194520022	NA	9983	161	3.26009433	144	0	45	mappable	NA	NA	NA	0.312343261594	0.05882352941	0.52525432682	0.15054281	0.20936634	194510040	194510086	194519923	194520121	NA	missing	1048034.00	NA	1.4065000	NA	NA	NA	NA	NA	NA	NA	NA	NA	DUP
1	194520022	201429994	NA	6909973	95346	2.96483474	95003	5061	24673	mappable	0.32806711	3	NA	0.257176011108	0.00018504811	0.41765444953	0.08802721	0.08821225	194519923	194520121	201429934	201430054	0.95292535	2	1004421.01	66.2942800	1.2814883	34.21181	0.6633634	0.32672688	0.998071767	1.9667630	2	1	2:1	3	DUP
1	201429994	201449984	NA	19991	320	3.09211372	320	15	75	mappable	0.28650653	9	NA	0.218024889389	0.06666666667	0.47715432682	0.13998678	0.20665345	201429934	201430054	201449940	201449984	NA	missing	1023415.67	67.9827596	1.3353777	NA	NA	NA	NA	NA	NA	NA	NA	NA	DUP
1	201449985	205629909	NA	4179925	54041	2.96483474	53784	3017	12500	mappable	0.32304038	3	NA	0.252543360408	0.00030543677	0.40745432682	0.09092957	0.09123500	201449985	201450029	205629815	205629909	0.92940401	2	1004421.01	66.2942800	1.2814883	34.21181	0.6633634	0.32672688	0.998071767	1.9667630	2	1	2:1	3	DUP
1	205629910	205670057	NA	40148	517	3.09211372	517	3	117	mappable	0.35564846	9	NA	0.287166815786	0.33333333333	0.50455432682	0.13077844	0.46411177	205629910	205630004	205669950	205670164	NA	missing	1023415.67	67.9827596	1.3353777	NA	NA	NA	NA	NA	NA	NA	NA	NA	DUP
1	205670057	220199977	NA	14529921	196444	2.96483474	195763	8374	50123	mappable	0.32067500	3	NA	0.253418360408	0.00011043622	0.41355432682	0.08406002	0.08417046	205669950	205670164	220199934	220199977	0.94099490	2	1004421.01	66.2942800	1.2814883	34.21181	0.6633634	0.32672688	0.998071767	1.9667630	2	1	2:1	3	DUP
1	220199978	220319905	NA	119928	1269	3.09211372	1259	107	320	mappable	0.30576201	9	NA	0.237280373395	0.00854700855	0.47635432682	0.11854093	0.12708794	220199978	220200021	220319777	220319905	0.95159778	2	1023415.67	67.9827596	1.3353777	33.45206	0.6675594	0.33511875	1.027944225	2.0641695	2	1	2:1	3	DUP
1	220319906	225210010	NA	4890105	62164	2.96483474	61892	2700	15738	mappable	0.31431014	3	NA	0.246568360408	0.00033647376	0.40845432682	0.09000319	0.09033967	220319906	220320034	225209950	225210070	0.92142527	2	1004421.01	66.2942800	1.2814883	34.21181	0.6633634	0.32672688	0.998071767	1.9667630	2	1	2:1	3	DUP
1	225210010	225490058	NA	280049	2772	3.09211372	2770	5	784	mappable	0.12006170	9	NA	0.249362515483	0.14285714286	0.50965432682	0.11052582	0.25338296	225209950	225210070	225489965	225490151	NA	missing	1023415.67	67.9827596	1.3353777	NA	NA	NA	NA	NA	NA	NA	NA	NA	DUP
1	225490058	231899988	NA	6409931	87580	2.96483474	87198	4318	21731	mappable	0.31536496	3	NA	0.246568360408	0.00021276596	0.40865432682	0.08844909	0.08866186	225489965	225490151	231899958	231899988	0.94906754	2	1004421.01	66.2942800	1.2814883	34.21181	0.6633634	0.32672688	0.998071767	1.9667630	2	1	2:1	3	DUP
1	231899989	231965045	NA	65057	945	3.27544639	942	19	229	mappable	0.26586785	NA	NA	0.190989368811	0.04545454545	0.53175432682	0.12508274	0.17053728	231899989	231900019	231959920	231970170	NA	missing	1037025.38	66.4060109	1.4130000	NA	NA	NA	NA	NA	NA	NA	NA	NA	DUP
1	231965045	234740055	NA	2775011	43261	2.96483474	43135	1553	11014	mappable	0.32002149	3	NA	0.252714788979	0.00059559261	0.41595432682	0.09344021	0.09403580	231959920	231970170	234739995	234740055	0.93882661	2	1004421.01	66.2942800	1.2814883	34.21181	0.6633634	0.32672688	0.998071767	1.9667630	2	1	2:1	3	DUP
1	234740056	234749983	NA	9928	148	3.29410505	141	0	30	mappable	NA	NA	NA	0.328550905641	0.14285714286	0.53965432682	0.15063318	0.29349032	234740056	234740116	234749963	234749983	NA	missing	877432.00	NA	1.4209000	NA	NA	NA	NA	NA	NA	NA	NA	NA	DUP
1	234749984	235170030	NA	420047	6115	2.96483474	6083	402	1454	mappable	0.33261703	3	NA	0.264441747505	0.00230414747	0.39555432682	0.10706529	0.10936943	234749984	234750004	235169996	235170030	0.88043839	2	1004421.01	66.2942800	1.2814883	34.21181	0.6633634	0.32672688	0.998071767	1.9667630	2	1	2:1	3	DUP
1	235170031	235634979	NA	464949	4258	3.09211372	4213	337	1047	mappable	0.31238269	9	NA	0.240482313896	0.00261780105	0.47595432682	0.10623203	0.10884983	235170031	235170065	235629955	235640003	0.95196191	2	1023415.67	67.9827596	1.3353777	33.45206	0.6675594	0.33511875	1.027944225	2.0641695	2	1	2:1	3	DUP
1	235634979	235709953	NA	74975	865	2.96483474	865	1	223	mappable	0.37634409	3	NA	0.307862446430	1.00000000000	0.39865432682	0.12350160	1.12350160	235629955	235640003	235709875	235709953	NA	missing	1004421.01	66.2942800	1.2814883	NA	NA	NA	NA	NA	NA	NA	NA	NA	DUP
1	235709954	242198642	NA	6488691	101298	3.09211372	100859	5844	25324	mappable	0.31847500	9	NA	0.248049700357	0.00015918497	0.44285890341	0.08838023	0.08853941	235709954	235710032	242198600	242198684	0.92650051	2	1023415.67	67.9827596	1.3353777	33.45206	0.6675594	0.33511875	1.027944225	2.0641695	2	1	2:1	3	DUP
1	242198642	246830003	NA	4631362	62671	2.96483474	62358	2132	15610	mappable	0.32351429	3	NA	0.253418360408	0.00040899796	0.43105432682	0.09032198	0.09073098	242198600	242198684	246829990	246830003	0.93645769	2	1004421.01	66.2942800	1.2814883	34.21181	0.6633634	0.32672688	0.998071767	1.9667630	2	1	2:1	3	DUP
1	246830004	246859978	NA	29975	588	3.29693928	585	2	137	mappable	0.28284528	NA	NA	0.219425671729	0.20000000000	0.54085432682	0.13448568	0.33448568	246830004	246830017	246859893	246859978	NA	missing	1029548.25	64.0553838	1.4221000	NA	NA	NA	NA	NA	NA	NA	NA	NA	DUP
1	246859979	248819497	NA	1959519	24254	2.96483474	24110	1238	5710	mappable	0.32058529	3	edge	0.251343360408	0.00072358900	0.41325432682	0.09568431	0.09640790	246859979	246860064	248798862	248819497	0.93599496	2	1004421.01	66.2942800	1.2814883	34.21181	0.6633634	0.32672688	0.998071767	1.9667630	2	1	2:1	3	DUP
10	130013	6926184	NA	6796173	120294	2.16958046	119371	5680	28732	mappable	0.06709643	8	edge	0.002517732327	0.00015146925	0.13562804537	0.08812012	0.08827159	130013	130013	6926178	6926184	0.22234060	1	729901.36	38.2604611	0.9447809	NA	NA	0.00000000	1.084790228	1.0847902	1	1	1:1	2	TCNneutral
10	6926185	6926193	DUP	9	0	0.00000000	0	0	NA	mappable	NA	NA	NA	NA	Inf	0.88124567318	0.63092975	Inf	6926185	6926185	6926193	6926193	NA	missing	NA	NA	0.0000000	NA	NA	0.00000000	0.000000000	0.0000000	0	0	NA	0	HomoDel
10	6926194	6926620	DUP	427	7	3.01824031	5	0	1	mappable	NA	NA	NA	0.170000078723	0.50000000000	0.42285432682	0.22888291	0.72888291	6926194	6926250	6926609	6926620	NA	missing	1021521.40	NA	1.3041000	NA	NA	NA	NA	NA	NA	NA	NA	NA	DUP
10	6926621	6942497	ITX	15877	299	3.09211372	296	34	79	mappable	0.27769380	9	NA	0.204399644501	0.02702702703	0.49725432682	0.14332139	0.17034842	6926621	6926647	6942453	6942497	0.98340083	2	1023415.67	67.9827596	1.3353777	33.45206	0.6675594	0.33511875	1.027944225	2.0641695	2	1	2:1	3	DUP
10	6942498	35813751	DUP	28871255	430694	2.37454371	428978	20677	108914	mappable	0.06502500	NA	NA	0.003374629074	0.00004465681	0.15031586494	0.08070006	0.08074471	6942498	6942503	35813549	35813751	0.20776005	1	806575.09	41.9861004	1.0315615	NA	NA	0.00000000	1.187271854	1.1872719	1	1	1:1	2	NA
10	35813752	39149984	CTX	3336233	35069	2.16958046	34630	1434	9004	mappable	0.06798804	8	NA	0.000853116506	0.00053390283	0.08085432682	0.09229439	0.09282830	35813752	35814052	39149984	39149984	0.23762909	1	729901.36	38.2604611	0.9447809	NA	NA	0.00000000	1.084790228	1.0847902	1	1	1:1	2	TCNneutral
10	42410000	46159967	NA	3749968	43642	2.16958046	43448	2338	11002	mappable	0.06863061	8	NA	0.001283476784	0.00039494471	0.05362710992	0.09158160	0.09197655	42410000	42410000	46159967	46159967	0.25211749	1	729901.36	38.2604611	0.9447809	NA	NA	0.00000000	1.084790228	1.0847902	1	1	1:1	2	TCNneutral
10	48310177	48659961	NA	349785	5572	2.02648247	5557	228	1363	mappable	0.07480259	1	self	0.006818360408	0.00411522634	0.01884567318	0.10860057	0.11271580	48310177	48310177	48659961	48659961	0.21217873	1	693452.99	35.7876681	0.8841938	NA	NA	0.00000000	1.013241235	1.0132412	1	1	1:1	2	TCNneutral
10	49390096	55739973	NA	6349878	83046	2.02648247	82710	4225	21065	mappable	0.06528404	1	self	0.000031639592	0.00021925016	0.01275432682	0.08850224	0.08872149	49390096	49390096	55739912	55740034	0.16557463	1	693452.99	35.7876681	0.8841938	NA	NA	0.00000000	1.013241235	1.0132412	1	1	1:1	2	TCNneutral
10	55739973	58710008	NA	2970037	43408	2.16958046	43190	3101	11031	mappable	0.06654038	8	NA	0.000111672738	0.00030129557	0.05397686644	0.09301439	0.09331568	55739912	55740034	58709983	58710033	0.17956519	1	729901.36	38.2604611	0.9447809	NA	NA	0.00000000	1.084790228	1.0847902	1	1	1:1	2	TCNneutral
10	58710008	58728000	NA	17993	321	2.23575753	321	0	81	mappable	NA	NA	NA	NA	Inf	0.09155432682	0.14149127	Inf	58709983	58710033	58727989	58728000	NA	missing	759530.49	NA	0.9728000	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCNneutral
10	58728001	62700020	NA	3972020	58523	2.16958046	58350	3049	15351	mappable	0.06723289	8	NA	0.000031639592	0.00031036623	0.05755432682	0.09123488	0.09154524	58728001	58728012	62699994	62700046	0.16722025	1	729901.36	38.2604611	0.9447809	NA	NA	0.00000000	1.084790228	1.0847902	1	1	1:1	2	TCNneutral
10	62700020	62709955	NA	9936	142	2.14472948	141	0	36	mappable	NA	7	NA	0.115728886724	1.00000000000	0.01054567318	0.15062000	1.15062000	62699994	62700046	62709907	62710003	NA	missing	712108.32	NA	0.9342591	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCNneutral
10	62709955	70228366	NA	7518413	106845	2.16958046	106526	4728	27841	mappable	0.06655000	8	NA	0.002691131676	0.00019817677	0.06105871823	0.08755802	0.08775620	62709907	62710003	70219819	70228366	0.18444452	1	729901.36	38.2604611	0.9447809	NA	NA	0.00000000	1.084790228	1.0847902	1	1	1:1	2	TCNneutral
10	70228367	70248993	ITX	20627	355	1.03231837	355	43	82	mappable	0.94862500	2	NA	0.880143360408	0.02325581395	0.36304567318	0.13954547	0.16280128	70228367	70230124	70248895	70248993	1.00000000	2	361163.57	34.9893961	0.4632688	34.02873	0.9968863	0.99377256	0.003214349	1.0291040	1	0	1:0	1	DEL;LOH
10	70248994	70249378	DEL	385	6	1.17103299	6	0	1	mappable	NA	NA	NA	NA	Inf	0.35924567318	0.23286372	Inf	70248994	70249094	70249365	70249378	NA	missing	410998.00	NA	0.5220000	NA	NA	NA	NA	NA	NA	NA	NA	NA	DEL
10	70249379	70250028	ITX	650	9	1.17103299	8	0	2	mappable	NA	NA	NA	0.025003378722	1.00000000000	0.35924567318	0.21403432	1.21403432	70249379	70249530	70249923	70250028	NA	missing	410998.00	NA	0.5220000	NA	NA	NA	NA	NA	NA	NA	NA	NA	DEL
10	70250029	81109971	NA	10859943	149206	2.16958046	148765	5182	37297	mappable	0.06639167	8	NA	0.000035027075	0.00017784101	0.04645432682	0.08557060	0.08574844	70250029	70250134	81109864	81109971	0.16818878	1	729901.36	38.2604611	0.9447809	NA	NA	0.00000000	1.084790228	1.0847902	1	1	1:1	2	TCNneutral
10	81109972	81140069	NA	30098	480	1.92355540	476	28	118	mappable	0.07530455	4	NA	0.010036542226	0.03125000000	0.03544567318	0.13443227	0.16568227	81109972	81110079	81139953	81140185	NA	missing	634797.79	33.2302685	0.8406149	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCNneutral
10	81140069	83240016	NA	2099948	24238	2.16958046	24142	1539	6168	mappable	0.06985242	8	NA	0.001105860408	0.00061162080	0.06295432682	0.09522938	0.09584100	81139953	81140185	83239934	83240098	0.16094623	1	729901.36	38.2604611	0.9447809	NA	NA	0.00000000	1.084790228	1.0847902	1	1	1:1	2	TCNneutral
10	83240016	83260083	NA	20068	334	2.34109629	334	0	98	mappable	NA	NA	NA	NA	Inf	0.13615432682	0.13993246	Inf	83239934	83240098	83259973	83260193	NA	missing	782174.05	NA	1.0174000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	83260083	91749990	NA	8489908	116849	2.16958046	116479	6390	29860	mappable	0.07038056	8	NA	0.003393360408	0.00014792899	0.05515432682	0.08689110	0.08703903	83259973	83260193	91749965	91749990	0.16845561	1	729901.36	38.2604611	0.9447809	NA	NA	0.00000000	1.084790228	1.0847902	1	1	1:1	2	TCNneutral
10	91749991	92570017	NA	820028	11693	2.02648247	11657	999	2954	mappable	0.07024167	1	self	0.000477095768	0.00096618357	0.05520012345	0.10180545	0.10277163	91749991	91750016	92569973	92570017	0.14632398	1	693452.99	35.7876681	0.8841938	NA	NA	0.00000000	1.013241235	1.0132412	1	1	1:1	2	TCNneutral
10	92570018	100229918	NA	7659901	97433	2.16958046	97046	4963	24194	mappable	0.06947500	8	NA	0.000031639592	0.00018691589	0.05605432682	0.08745504	0.08764195	92570018	92570062	100229816	100229918	0.18453915	1	729901.36	38.2604611	0.9447809	NA	NA	0.00000000	1.084790228	1.0847902	1	1	1:1	2	TCNneutral
10	100229919	100239983	NA	10065	134	1.92355540	133	28	32	mappable	0.12814534	4	NA	0.061393784137	0.03448275862	0.02384567318	0.15040919	0.18489195	100229919	100230021	100239955	100240011	NA	missing	634797.79	33.2302685	0.8406149	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCNneutral
10	100239983	103568099	NA	3328117	39925	2.16958046	39744	1629	9890	mappable	0.07001667	8	NA	0.003393360408	0.00055248619	0.05805432682	0.09230936	0.09286185	100239955	100240011	103567876	103568099	0.16541262	1	729901.36	38.2604611	0.9447809	NA	NA	0.00000000	1.084790228	1.0847902	1	1	1:1	2	TCNneutral
10	103568100	103568426	ITX	327	2	1.84321711	2	0	2	mappable	NA	NA	NA	NA	Inf	0.07464567318	0.23943072	Inf	103568100	103568376	103568384	103568426	NA	missing	630601.70	NA	0.8066000	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCNneutral
10	103568427	103734372	DEL	165946	1695	1.03231837	1683	19	437	mappable	0.98325000	2	NA	0.907703037827	0.03225806452	0.35534567318	0.11533790	0.14759596	103568427	103568544	103734355	103734372	NA	missing	361163.57	34.9893961	0.4632688	NA	NA	NA	NA	NA	NA	NA	NA	NA	DEL
10	103734373	108340001	DEL	4605629	57738	2.16958046	57543	2393	14409	mappable	0.06647105	8	NA	0.001129716515	0.00038639876	0.05555432682	0.09035478	0.09074118	103734373	103734389	108339958	108340044	0.14184008	1	729901.36	38.2604611	0.9447809	NA	NA	0.00000000	1.084790228	1.0847902	1	1	1:1	2	TCNneutral
10	108340001	108379989	NA	39989	606	2.02648247	605	24	149	mappable	0.07093629	1	self	0.002454650731	0.04000000000	0.00524567318	0.13082742	0.17082742	108339958	108340044	108379958	108379989	NA	missing	693452.99	35.7876681	0.8841938	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCNneutral
10	108379990	118109308	NA	9729319	148294	2.16958046	147780	6465	37859	mappable	0.06835962	8	NA	0.000682556901	0.00014328700	0.05713256869	0.08615525	0.08629854	108379990	108380021	118109282	118109308	0.18146045	1	729901.36	38.2604611	0.9447809	NA	NA	0.00000000	1.084790228	1.0847902	1	1	1:1	2	TCNneutral
10	118109309	118118346	ITX	9038	104	3.48919433	104	0	24	mappable	NA	NA	NA	NA	Inf	0.62225432682	0.15218629	Inf	118109309	118109433	118118340	118118346	NA	missing	1194392.14	NA	1.5035000	NA	NA	NA	NA	NA	NA	NA	NA	NA	DUP
10	118118347	118124883	INV	6537	90	3.50856155	90	1	30	mappable	0.64539007	NA	NA	0.576908431330	1.00000000000	0.63045432682	0.15779824	1.15779824	118118347	118118600	118124871	118124883	NA	missing	1198469.39	98.5974816	1.5117000	NA	NA	NA	NA	NA	NA	NA	NA	NA	DUP
10	118124884	118126956	INV	2073	28	3.47549557	28	0	6	mappable	NA	NA	NA	NA	Inf	0.61645432682	0.18152931	Inf	118124884	118125116	118126930	118126956	NA	missing	1186463.30	NA	1.4977000	NA	NA	NA	NA	NA	NA	NA	NA	NA	DUP
