#chromosome	start	end	crest	length	tcnNbrOfLoci	tcnMean	tcnNbrOfSNPs	tcnNbrOfHets	dhNbrOfLoci	map	dhMax	cluster	neighbour	distDH	errorSNP	distTcn	errorLength	totalError	minStart	maxStart	minStop	maxStop	area	peaks	meanCovT	meanCovB	tcnMeanRaw	AF	BAF	dhMean	c1Mean	c2Mean	A	B	genotype	TCN	CNA.type
15	24830092	28529988	NA	3699897	57427	3.1768833	57198	3341	0	mappable	0.30716029	3	NA	0.00478831133	0.000280112045	0.0727570005	0.09166300	0.09194312	24830092	24830092	28529988	28529988	0.82563315	2	809370.4	52.767139	0.9792443	26.66211	0.6649977	0.32999537	1.0642633	2.1126201	2	1	2:1	3	TCNneutral
15	29100034	30369914	NA	1269881	18293	3.0681339	18222	1376	6	mappable	0.29926667	2	NA	0.01250154662	0.000691085003	0.0403570005	0.09863751	0.09932860	29100034	29100034	30369914	30369914	0.83511825	2	814707.9	52.743886	0.9483735	27.71155	0.6604984	0.32099671	1.0416365	2.0264974	2	1	2:1	3	TCNneutral
15	31160110	82479795	NA	51319726	690748	2.9962893	688085	30099	41	mappable	0.31298766	8	self	0.00094249835	0.000030525031	0.0144299452	0.07808532	0.07811584	31160110	31160110	82479795	82479795	0.86573648	2	814730.2	53.111475	0.9279789	28.32135	0.6657157	0.33143130	1.0016126	1.9946767	2	1	2:1	3	TCNneutral
15	83211507	102399920	NA	19188426	296197	2.9962893	294986	15138	19	mappable	0.31847500	8	edge	0.00588668867	0.000061169562	0.0034429995	0.08266604	0.08272721	83211507	83211507	102399920	102399920	0.83901727	2	814730.2	53.111475	0.9279789	28.32135	0.6657157	0.33143130	1.0016126	1.9946767	2	1	2:1	3	TCNneutral
16	100010	5799998	NA	5700000	91653	2.9962893	90985	4546	24	mappable	0.31838553	8	edge	0.00555956101	0.000191791331	0.0147429995	0.08911651	0.08930830	100010	100010	5799947	5799998	0.85424315	2	814730.2	53.111475	0.9279789	28.32135	0.6657157	0.33143130	1.0016126	1.9946767	2	1	2:1	3	TCNneutral
16	5799999	16289940	NA	10489950	206837	3.1768833	205896	11294	26	mappable	0.32050994	3	NA	0.00588668867	0.000081732734	0.0498570005	0.08575408	0.08583582	5799999	5800050	16289940	16289940	0.88018393	2	809370.4	52.767139	0.9792443	26.66211	0.6649977	0.32999537	1.0642633	2.1126201	2	1	2:1	3	TCNneutral
16	16870104	18169896	NA	1299793	20494	3.1768833	20390	1050	4	mappable	0.31344968	3	NA	0.00713514677	0.000866551127	0.0407570005	0.09847438	0.09934093	16870104	16870104	18169896	18169896	0.91469120	2	809370.4	52.767139	0.9792443	26.66211	0.6649977	0.32999537	1.0642633	2.1126201	2	1	2:1	3	TCNneutral
16	18800044	29039945	NA	10239907	125363	3.1768833	124693	6743	5	mappable	0.30820000	3	NA	0.00438831133	0.000134898152	0.0388570005	0.08588225	0.08601715	18800044	18800044	29039945	29039945	0.87978599	2	809370.4	52.767139	0.9792443	26.66211	0.6649977	0.32999537	1.0642633	2.1126201	2	1	2:1	3	TCNneutral
16	29670028	31959970	NA	2289943	17560	3.0681339	17516	468	5	mappable	0.28901078	2	NA	0.02441053355	0.001953125000	0.0431570005	0.09466613	0.09661926	29670028	29670028	31959970	31959970	0.92109954	2	814707.9	52.743886	0.9483735	27.71155	0.6604984	0.32099671	1.0416365	2.0264974	2	1	2:1	3	TCNneutral
16	32520030	32649899	NA	129870	3149	3.2052614	2819	0	12	mappable	NA	NA	NA	0.25573867365	0.003030303030	0.0569570005	0.11773911	0.12076942	32520030	32520030	32649899	32649899	NA	missing	1146369.5	NA	0.9873000	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCNneutral
16	34240045	35279959	NA	1039915	12796	4.3959432	12771	68	0	mappable	0.34064545	NA	NA	0.03876980556	0.010752688172	0.3949570005	0.10005986	0.11081255	34240045	34240114	35279959	35279959	0.60844471	2	808238.0	52.844792	1.3253000	19.67267	0.6633707	0.32674140	1.4798033	2.9161399	3	sub	3:sub	sub	DUP
16	46450014	90109969	NA	43659978	703949	2.9962893	700827	35569	105	mappable	0.31162500	8	edge	0.00008831309	0.000025846472	0.0019205456	0.07880280	0.07882865	46450014	46450014	90109969	90109969	0.85985692	2	814730.2	53.111475	0.9279789	28.32135	0.6657157	0.33143130	1.0016126	1.9946767	2	1	2:1	3	TCNneutral
17	20080	18239982	NA	18219912	232875	4.0498782	231583	11956	1	mappable	0.06160000	4	edge	0.25098831133	0.000075483092	0.2985570005	0.08292213	0.08299762	20080	20080	18239982	18239982	0.14474326	1	1069187.6	54.865443	1.2270622	NA	NA	0.00000000	2.0249391	2.0249391	2	2	2:2	4	DUP
17	18750212	22239986	NA	3489777	25850	4.0498782	25129	1001	29	mappable	0.05860000	4	NA	0.25511425472	0.000580720093	0.2985570005	0.09201874	0.09259946	18750212	18750212	22239986	22239986	0.15999693	1	1069187.6	54.865443	1.2270622	NA	NA	0.00000000	2.0249391	2.0249391	2	2	2:2	4	DUP
17	25390040	44279982	NA	18889955	211185	4.0498782	210070	11113	2	mappable	0.05890480	4	NA	0.25098831133	0.000081779522	0.3278570005	0.08274339	0.08282517	25390040	25390040	44279982	44279982	0.14456313	1	1069187.6	54.865443	1.2270622	NA	NA	0.00000000	2.0249391	2.0249391	2	2	2:2	4	DUP
17	44790026	77010160	NA	32220154	413766	4.0498782	411784	22060	76	mappable	0.06160000	4	NA	0.25098831133	0.000041595608	0.3131508296	0.08018777	0.08022936	44790026	44790026	77010018	77010160	0.13611597	1	1069187.6	54.865443	1.2270622	NA	NA	0.00000000	2.0249391	2.0249391	2	2	2:2	4	DUP
17	77010161	77010162	ITX	2	0	0.0000000	0	0	NA	mappable	NA	NA	NA	NA	Inf	0.9303429995	2.00000000	Inf	77010161	77010161	77010162	77010162	NA	missing	NA	NA	0.0000000	NA	NA	0.00000000	0.0000000	0.0000000	0	0	NA	0	HomoDel
17	77010163	81149937	NA	4139775	63072	3.9315304	62504	3252	50	mappable	0.06120833	1	edge	0.25023093416	0.000261780105	0.2730263847	0.09098717	0.09124895	77010163	77010217	81149937	81149937	0.15438390	1	1075631.7	55.251535	1.1934667	NA	NA	0.00000000	1.9657652	1.9657652	2	2	2:2	4	DUP
18	130031	14119956	NA	13989930	212769	2.9962893	211915	12783	25	mappable	0.31262770	8	edge	0.00096331133	0.000073329911	0.0118570005	0.08425350	0.08432683	130031	130031	14119956	14119956	0.82845040	2	814730.2	53.111475	0.9279789	28.32135	0.6657157	0.33143130	1.0016126	1.9946767	2	1	2:1	3	TCNneutral
18	14119957	14910026	NA	790070	0	0.0000000	0	0	NA	mappable	NA	NA	NA	NA	Inf	0.9303429995	0.10208446	Inf	14119957	14119957	14910026	14910026	NA	missing	NA	NA	0.0000000	NA	NA	0.00000000	0.0000000	0.0000000	0	0	NA	0	HomoDel
18	14910027	14929888	NA	19862	364	2.8068409	363	34	0	mappable	0.27909085	NA	NA	0.03349745894	0.028571428571	0.0561429995	0.14007836	0.16864978	14910027	14910027	14929888	14929888	0.98726928	2	820255.5	53.297159	0.8742000	30.26751	0.6643147	0.32862936	0.9422153	1.8646256	2	1	2:1	3	TCNneutral
18	18540053	40573951	NA	22033908	303126	2.9962893	301974	15396	34	mappable	0.31162500	8	NA	0.00228657385	0.000060433916	0.0031291754	0.08198999	0.08205042	18540053	18540053	40569988	40573951	0.88051696	2	814730.2	53.111475	0.9279789	28.32135	0.6657157	0.33143130	1.0016126	1.9946767	2	1	2:1	3	TCNneutral
18	40573952	40573952	ITX	1	0	0.0000000	0	0	NA	mappable	NA	NA	NA	NA	Inf	0.9303429995	Inf	Inf	40573952	40573952	40573952	40573952	NA	missing	NA	NA	0.0000000	NA	NA	0.00000000	0.0000000	0.0000000	0	0	NA	0	HomoDel
18	40573953	78009968	NA	37436032	576912	2.9962893	574260	28744	131	mappable	0.31137500	8	edge	0.00247786062	0.000031852206	0.0003189984	0.07949781	0.07952967	40573953	40580056	78009968	78009968	0.85907403	2	814730.2	53.111475	0.9279789	28.32135	0.6657157	0.33143130	1.0016126	1.9946767	2	1	2:1	3	TCNneutral
19	260137	2380037	NA	2119902	29341	2.9962893	29034	1391	34	mappable	0.32102500	8	edge	0.00551168867	0.000589275192	0.0103429995	0.09516755	0.09575683	260137	260137	2379967	2380107	0.89162819	2	814730.2	53.111475	0.9279789	28.32135	0.6657157	0.33143130	1.0016126	1.9946767	2	1	2:1	3	TCNneutral
19	2380037	24465030	NA	22084998	225491	3.1768833	223727	13120	49	mappable	0.31534405	3	NA	0.00403957264	0.000067186240	0.0544511967	0.08197876	0.08204595	2379967	2380107	24459836	24470224	0.90931552	2	809370.4	52.767139	0.9792443	26.66211	0.6649977	0.32999537	1.0642633	2.1126201	2	1	2:1	3	TCNneutral
19	24465030	24569972	NA	104943	2589	3.9315304	2336	39	17	mappable	0.33509918	1	NA	0.25417344646	0.003424657534	0.2692570005	0.11990949	0.12333415	24459836	24470224	24569972	24569972	0.93886939	2	1075631.7	55.251535	1.1934667	29.07312	0.5146139	0.02922783	1.9083102	2.0232203	2	2	2:2	4	DUP
19	27750002	43209995	NA	15460002	197697	2.9962893	196731	8878	5	mappable	0.31763712	8	NA	0.00246168867	0.000101584722	0.0044429995	0.08374495	0.08384653	27750002	27750002	43209995	43209995	0.91785185	2	814730.2	53.111475	0.9279789	28.32135	0.6657157	0.33143130	1.0016126	1.9946767	2	1	2:1	3	TCNneutral
19	43209996	43800005	NA	590010	0	0.0000000	0	0	NA	mappable	NA	NA	NA	NA	Inf	0.9303429995	0.10432761	Inf	43209996	43209996	43800005	43800005	NA	missing	NA	NA	0.0000000	NA	NA	0.00000000	0.0000000	0.0000000	0	0	NA	0	HomoDel
19	43800006	59089999	NA	15289999	163082	3.1768833	161961	8980	34	mappable	0.31162500	3	edge	0.00194222183	0.000099000099	0.0466469025	0.08380093	0.08389993	43800006	43800006	59089999	59089999	0.90856153	2	809370.4	52.767139	0.9792443	26.66211	0.6649977	0.32999537	1.0642633	2.1126201	2	1	2:1	3	TCNneutral
2	20016	31990058	NA	31970058	478448	3.9315304	476158	24377	104	mappable	0.06160000	1	edge	0.25098831133	0.000037499531	0.2638979316	0.08022393	0.08026143	20016	20016	31989993	31990058	0.13044145	1	1075631.7	55.251535	1.1934667	NA	NA	0.00000000	1.9657652	1.9657652	2	2	2:2	4	DUP
2	31990059	87059860	NA	55069833	832865	4.0498782	830104	39306	48	mappable	0.06177222	4	NA	0.25098831133	0.000023772168	0.3053909813	0.07777635	0.07780012	31990059	31990124	87059860	87059860	0.11737094	1	1069187.6	54.865443	1.2270622	NA	NA	0.00000000	2.0249391	2.0249391	2	2	2:2	4	DUP
2	88330099	89229990	NA	899894	11886	3.9315304	11850	564	1	mappable	0.06216786	1	NA	0.25023831133	0.001666666667	0.2719570005	0.10111532	0.10278199	88330099	88330099	89229990	89229990	0.12516310	1	1075631.7	55.251535	1.1934667	NA	NA	0.00000000	1.9657652	1.9657652	2	2	2:2	4	DUP
2	89840102	90239998	NA	399897	914	4.0498782	901	17	10	mappable	0.10471630	4	NA	0.22139435848	0.033333333333	0.3281570005	0.10747332	0.14080666	89840102	89840102	90239998	90239998	NA	missing	1069187.6	54.865443	1.2270622	NA	NA	NA	NA	NA	NA	NA	NA	NA	DUP
2	95580145	96239991	NA	659847	4448	3.9315304	4431	22	2	mappable	0.04773622	1	NA	0.26237195794	0.025641025641	0.2624570005	0.10345663	0.12909766	95580145	95580145	96239991	96239991	NA	missing	1075631.7	55.251535	1.1934667	NA	NA	NA	NA	NA	NA	NA	NA	NA	DUP
2	96239992	96740020	NA	500029	0	0.0000000	0	0	NA	mappable	NA	NA	NA	NA	Inf	0.9303429995	0.10564318	Inf	96239992	96239992	96740020	96740020	NA	missing	NA	NA	0.0000000	NA	NA	0.00000000	0.0000000	0.0000000	0	0	NA	0	HomoDel
2	96740021	132189994	NA	35449992	448910	4.0498782	447368	20745	40	mappable	0.06127237	4	NA	0.25098831133	0.000044871220	0.2850420042	0.07974710	0.07979197	96740021	96740021	132189994	132189994	0.12047262	1	1069187.6	54.865443	1.2270622	NA	NA	0.00000000	2.0249391	2.0249391	2	2	2:2	4	DUP
2	132189995	133009999	NA	820005	0	0.0000000	0	0	NA	mappable	NA	NA	NA	NA	Inf	0.9303429995	0.10180566	Inf	132189995	132189995	133009999	133009999	NA	missing	NA	NA	0.0000000	NA	NA	0.00000000	0.0000000	0.0000000	0	0	NA	0	HomoDel
2	133010000	238909958	NA	105900000	1437805	4.0498782	1431828	68907	164	mappable	0.06150897	4	NA	0.25098831133	0.000013354344	0.2893813444	0.07502402	0.07503738	133010000	133010000	238909910	238910006	0.12636627	1	1069187.6	54.865443	1.2270622	NA	NA	0.00000000	2.0249391	2.0249391	2	2	2:2	4	DUP
2	238909958	242999969	NA	4090013	67350	3.9315304	66711	4435	76	mappable	0.06140000	1	edge	0.25015939923	0.000197083169	0.2326707822	0.09105945	0.09125653	238909910	238910006	242999969	242999969	0.12820482	1	1075631.7	55.251535	1.1934667	NA	NA	0.00000000	1.9657652	1.9657652	2	2	2:2	4	DUP
20	60479	25729738	NA	25669277	400754	2.9962893	399136	21619	38	mappable	0.31773289	8	edge	0.00454316410	0.000043040372	0.0138259192	0.08125609	0.08129913	60479	60479	25729738	25729738	0.83795805	2	814730.2	53.111475	0.9279789	28.32135	0.6657157	0.33143130	1.0016126	1.9946767	2	1	2:1	3	TCNneutral
20	29810057	62909989	NA	33099965	498321	2.9962893	496010	21807	124	mappable	0.31504202	8	edge	0.00216531321	0.000041462808	0.0241357315	0.08006301	0.08010447	29810057	29810057	62909989	62909989	0.85923966	2	814730.2	53.111475	0.9279789	28.32135	0.6657157	0.33143130	1.0016126	1.9946767	2	1	2:1	3	TCNneutral
21	10720001	11179964	NA	459965	5133	4.4551250	4800	0	42	mappable	NA	NA	edge	0.22417997799	0.003003003003	0.4117570005	0.10631984	0.10932284	10720001	10720001	11179964	11179964	NA	missing	2251098.4	NA	1.3421000	NA	NA	NA	NA	NA	NA	NA	NA	NA	DUP
21	15410077	41000061	NA	25589998	398598	4.0498782	396496	19185	23	mappable	0.06160000	4	NA	0.25098831133	0.000046977028	0.2955570005	0.08127083	0.08131780	15410077	15410077	40999945	41000177	0.13640602	1	1069187.6	54.865443	1.2270622	NA	NA	0.00000000	2.0249391	2.0249391	2	2	2:2	4	DUP
21	41000061	48099931	NA	7099873	118544	3.9315304	117592	6567	110	mappable	0.06010000	1	edge	0.25152600441	0.000132996409	0.2440226470	0.08787593	0.08800892	40999945	41000177	48099931	48099931	0.15520850	1	1075631.7	55.251535	1.1934667	NA	NA	0.00000000	1.9657652	1.9657652	2	2	2:2	4	DUP
22	16850007	25420867	NA	8570870	86448	4.0498782	85879	4344	15	mappable	0.06295000	4	edge	0.25004053905	0.000203541624	0.2878570005	0.08683944	0.08704298	16850007	16850007	25399938	25420867	0.15418176	1	1069187.6	54.865443	1.2270622	NA	NA	0.00000000	2.0249391	2.0249391	2	2	2:2	4	DUP
22	25420868	33289978	NA	7869122	99835	3.9315304	99315	5504	18	mappable	0.06160000	1	NA	0.25098831133	0.000166002656	0.2678570005	0.08730662	0.08747262	25420868	25441797	33289920	33290036	0.12549149	1	1075631.7	55.251535	1.1934667	NA	NA	0.00000000	1.9657652	1.9657652	2	2	2:2	4	DUP
22	33289978	46999996	NA	13710030	190290	4.0498782	189347	9025	17	mappable	0.05817500	4	NA	0.25098831133	0.000100321027	0.3278570005	0.08435712	0.08445744	33289920	33290036	46999982	46999996	0.13432043	1	1069187.6	54.865443	1.2270622	NA	NA	0.00000000	2.0249391	2.0249391	2	2	2:2	4	DUP
22	46999997	51179984	NA	4179989	80276	3.9315304	79691	4385	96	mappable	0.05909412	1	edge	0.25200988577	0.000201207243	0.2581292438	0.09092948	0.09113068	46999997	47000011	51179984	51179984	0.13962521	1	1075631.7	55.251535	1.1934667	NA	NA	0.00000000	1.9657652	1.9657652	2	2	2:2	4	DUP
3	100074	16648793	NA	16548735	270723	2.9962893	269451	15613	29	mappable	0.31199286	8	edge	0.00045675600	0.000059224163	0.0002126478	0.08340208	0.08346130	100074	100074	16648779	16648793	0.82312683	2	814730.2	53.111475	0.9279789	28.32135	0.6657157	0.33143130	1.0016126	1.9946767	2	1	2:1	3	TCNneutral
3	16648794	90499969	CTX	73851209	1035192	2.9962893	1031550	47083	64	mappable	0.31162500	8	self	0.00073258770	0.000019714534	0.0074826364	0.07651660	0.07653632	16648794	16648796	90499969	90499969	0.89010309	2	814730.2	53.111475	0.9279789	28.32135	0.6657157	0.33143130	1.0016126	1.9946767	2	1	2:1	3	TCNneutral
3	93570175	122870704	NA	29300533	405853	2.9962893	404328	20609	62	mappable	0.31261064	8	self	0.00123731468	0.000045179362	0.0017763047	0.08063078	0.08067596	93570175	93570175	122870693	122870704	0.89094832	2	814730.2	53.111475	0.9279789	28.32135	0.6657157	0.33143130	1.0016126	1.9946767	2	1	2:1	3	TCNneutral
3	122870705	128891525	INV	6020825	78344	2.9962893	78035	4700	7	mappable	0.31326620	8	self	0.00197246626	0.000199640647	0.0136429995	0.08880391	0.08900356	122870705	122870721	128889883	128891525	0.87653229	2	814730.2	53.111475	0.9279789	28.32135	0.6657157	0.33143130	1.0016126	1.9946767	2	1	2:1	3	TCNneutral
3	128891526	142569924	INV	13678408	174102	3.1768833	173525	6853	0	mappable	0.31067500	3	identical	0.00096331133	0.000134589502	0.0393570005	0.08436897	0.08450356	128891526	128900360	142569806	142569924	0.82874352	2	809370.4	52.767139	0.9792443	26.66211	0.6649977	0.32999537	1.0642633	2.1126201	2	1	2:1	3	TCNneutral
