"chrom" "TCN" "A" "B" "Seglength" "n_mut_A" "n_mut_B" "n_mut_total" "density_total_mean" "density_A_mean" "density_B_mean" "density_total_lower" "density_total_upper" "density_A_lower" "density_A_upper" "density_B_lower" "density_B_upper" "p_total_to_mrca" "p_A_to_mrca" "p_B_to_mrca" "p_adj_total_to_mrca" "p_adj_A_to_mrca" "p_adj_B_to_mrca" "MRCA_qual" "p_A_to_eca" "p_B_to_eca" "p_adj_A_to_eca" "p_adj_B_to_eca" "A_time" "B_time"
"11" "18" 2 1 1 70643927 20 20 20 0.283109969240527 0.283109969240527 0.283109969240527 0.1729309242025 0.437240385895798 0.1729309242025 0.437240385895798 0.1729309242025 0.437240385895798 0.124918175376245 NA NA 1 NA NA "PASS" NA NA NA NA NA NA
"12" "19" 2 1 1 54174668 8 8 8 0.147670494261266 0.147670494261266 0.147670494261266 0.0637536380794895 0.290969742909976 0.0637536380794895 0.290969742909976 0.0637536380794895 0.290969742909976 0.149368199425007 NA NA 1 NA NA "PASS" NA NA NA NA NA NA
"13" "2" 2 1 1 228673882 44 44 44 0.192413753661645 0.192413753661645 0.192413753661645 0.139808127970401 0.258306483292691 0.139808127970401 0.258306483292691 0.139808127970401 0.258306483292691 0.185847639830524 NA NA 1 NA NA "PASS" NA NA NA NA NA NA
"14" "20" 2 1 1 43529274 7 7 7 0.160811319756907 0.160811319756907 0.160811319756907 0.0646544909414264 0.331332779905826 0.0646544909414264 0.331332779905826 0.0646544909414264 0.331332779905826 0.246128789499226 NA NA 1 NA NA "PASS" NA NA NA NA NA NA
"15" "20" 3 2 1 15239916 3 2 2 0.131234319139292 0.196851478708938 0.131234319139292 0.0158930848794682 0.474063483533896 0.0405955074093323 0.575283556007941 0.0158930848794682 0.474063483533896 0.338146032968041 0.444095470055626 NA 1 1 NA "PASS" 6.52778606094112e-06 NA 6.52778606094112e-06 NA "MRCA" NA
"16" "21" 2 1 1 32689854 13 13 13 0.397676906112826 0.397676906112826 0.397676906112826 0.211746203914028 0.68003962079974 0.211746203914028 0.68003962079974 0.211746203914028 0.68003962079974 0.0186727811239258 NA NA 0.456654396906419 NA NA "PASS" NA NA NA NA NA NA
"17" "22" 2 1 1 33879944 4 4 4 0.118063949574415 0.118063949574415 0.118063949574415 0.0321684526286798 0.30229060223369 0.0321684526286798 0.30229060223369 0.0321684526286798 0.30229060223369 0.127547917776051 NA NA 1 NA NA "PASS" NA NA NA NA NA NA
"18" "3" 2 1 1 192826747 42 42 42 0.217812106740565 0.217812106740565 0.217812106740565 0.15697980805784 0.294418692747488 0.15697980805784 0.294418692747488 0.15697980805784 0.294418692747488 0.471559345442834 NA NA 1 NA NA "PASS" NA NA NA NA NA NA
"19" "4" 2 1 1 186106060 40 40 40 0.214931206431429 0.214931206431429 0.214931206431429 0.153550004990643 0.292675300116418 0.153550004990643 0.292675300116418 0.153550004990643 0.292675300116418 0.441383987696152 NA NA 1 NA NA "PASS" NA NA NA NA NA NA
"20" "5" 3 2 1 168385899 1.44 48 48 0.285059498954838 0.00855178496864516 0.285059498954838 0.210180371596812 0.377947539313415 0.000564114113132719 0.0375152977249892 0.210180371596812 0.377947539313415 0.0490065702327283 5.01071336406876e-15 NA 1 1.80385681106475e-13 NA "PASS" 0.283573726938209 NA 1 NA "ECA" NA
"21" "6" 2 1 1 164027693 37 37 37 0.225571666121037 0.225571666121037 0.225571666121037 0.158823269965188 0.310920828118523 0.158823269965188 0.310920828118523 0.158823269965188 0.310920828118523 0.439169642371273 NA NA 1 NA NA "PASS" NA NA NA NA NA NA
"22" "7" 4 2 2 148494650 0.465 0.465 46.5 0.31314259469954 0.0031314259469954 0.0031314259469954 0.229675700264307 0.417045215448149 1.86046611327159e-06 0.0310360817346362 1.86046611327159e-06 0.0310360817346362 0.0166351984028031 9.14220398758654e-15 NA 0.43251515847288 3.19977139565529e-13 NA "PASS" 0.416472473374254 NA 1 NA "ECA" "ECA"
"23" "8" 2 1 1 135860280 33 33 33 0.242896599359283 0.242896599359283 0.242896599359283 0.167198842610437 0.341117133493095 0.167198842610437 0.341117133493095 0.167198842610437 0.341117133493095 0.285367275171417 NA NA 1 NA NA "PASS" NA NA NA NA NA NA
"24" "9" 3 2 1 102888624 22.05 23.3333333333333 23.3333333333333 0.226782441305983 0.214309407034154 0.226782441305983 0.144285002602877 0.339312057760322 0.134386178479128 0.32431690744468 0.144285002602877 0.339312057760322 0.447952217361797 0.470773184206265 NA 1 1 NA "PASS" 6.03081192273802e-20 NA 1.2061623845476e-19 NA "MRCA" NA
